,drug_name,drug_name_full,rxcui,drug_class
0,aripiprazole,1.5 ML aripiprazole 200 MG/ML Prefilled Syringe [Abilify],1602604,antipsychotic
1,aripiprazole,2 ML aripiprazole 200 MG/ML Prefilled Syringe [Abilify],1602607,antipsychotic
2,aripiprazole,aripiprazole 400 MG Injection [Abilify],1659814,antipsychotic
3,aripiprazole,aripiprazole 300 MG Injection [Abilify],1659818,antipsychotic
4,aripiprazole,Sensor aripiprazole 10 MG Oral Tablet [Abilify],1998453,antipsychotic
5,aripiprazole,Sensor aripiprazole 15 MG Oral Tablet [Abilify],1998455,antipsychotic
6,aripiprazole,Sensor aripiprazole 2 MG Oral Tablet [Abilify],1998457,antipsychotic
7,aripiprazole,Sensor aripiprazole 20 MG Oral Tablet [Abilify],1998459,antipsychotic
8,aripiprazole,Sensor aripiprazole 30 MG Oral Tablet [Abilify],1998461,antipsychotic
9,aripiprazole,Sensor aripiprazole 5 MG Oral Tablet [Abilify],1998463,antipsychotic
10,aripiprazole,2.4 ML aripiprazole 300 MG/ML Prefilled Syringe [Abilify],2636640,antipsychotic
11,aripiprazole,3.2 ML aripiprazole 300 MG/ML Prefilled Syringe [Abilify],2636646,antipsychotic
12,aripiprazole,aripiprazole 10 MG Oral Tablet [Abilify],352307,antipsychotic
13,aripiprazole,aripiprazole 15 MG Oral Tablet [Abilify],352308,antipsychotic
14,aripiprazole,aripiprazole 20 MG Oral Tablet [Abilify],352309,antipsychotic
15,aripiprazole,aripiprazole 30 MG Oral Tablet [Abilify],352310,antipsychotic
16,aripiprazole,aripiprazole 5 MG Oral Tablet [Abilify],404602,antipsychotic
17,aripiprazole,aripiprazole 2 MG Oral Tablet [Abilify],615172,antipsychotic
18,aripiprazole,1.5 ML aripiprazole 200 MG/ML Prefilled Syringe,1602163,antipsychotic
19,aripiprazole,2 ML aripiprazole 200 MG/ML Prefilled Syringe,1602171,antipsychotic
20,aripiprazole,aripiprazole 400 MG Injection,1659812,antipsychotic
21,aripiprazole,aripiprazole 300 MG Injection,1659816,antipsychotic
22,aripiprazole,Sensor aripiprazole 10 MG Oral Tablet,1998451,antipsychotic
23,aripiprazole,Sensor aripiprazole 15 MG Oral Tablet,1998454,antipsychotic
24,aripiprazole,Sensor aripiprazole 2 MG Oral Tablet,1998456,antipsychotic
25,aripiprazole,Sensor aripiprazole 20 MG Oral Tablet,1998458,antipsychotic
26,aripiprazole,Sensor aripiprazole 30 MG Oral Tablet,1998460,antipsychotic
27,aripiprazole,Sensor aripiprazole 5 MG Oral Tablet,1998462,antipsychotic
28,aripiprazole,2.4 ML aripiprazole 300 MG/ML Prefilled Syringe,2636637,antipsychotic
29,aripiprazole,3.2 ML aripiprazole 300 MG/ML Prefilled Syringe,2636645,antipsychotic
30,aripiprazole,aripiprazole 15 MG Oral Tablet,349490,antipsychotic
31,aripiprazole,aripiprazole 10 MG Oral Tablet,349545,antipsychotic
32,aripiprazole,aripiprazole 30 MG Oral Tablet,349547,antipsychotic
33,aripiprazole,aripiprazole 20 MG Oral Tablet,349553,antipsychotic
34,aripiprazole,aripiprazole 5 MG Oral Tablet,402131,antipsychotic
35,aripiprazole,aripiprazole 1 MG/ML Oral Solution,485496,antipsychotic
36,aripiprazole,aripiprazole 2 MG Oral Tablet,602964,antipsychotic
37,aripiprazole,aripiprazole 10 MG Disintegrating Oral Tablet,643019,antipsychotic
38,aripiprazole,aripiprazole 15 MG Disintegrating Oral Tablet,643022,antipsychotic
39,aripiprazole,aripiprazole 20 MG Disintegrating Oral Tablet,643027,antipsychotic
40,aripiprazole,aripiprazole 30 MG Disintegrating Oral Tablet,643058,antipsychotic
41,aripiprazole,1.3 ML aripiprazole 7.5 MG/ML Injection,672356,antipsychotic
0,ziprasidone,ziprasidone 40 MG Oral Capsule [Geodon],284548,antipsychotic
1,ziprasidone,ziprasidone 60 MG Oral Capsule [Geodon],284549,antipsychotic
2,ziprasidone,ziprasidone 80 MG Oral Capsule [Geodon],284550,antipsychotic
3,ziprasidone,ziprasidone 20 MG Oral Capsule [Geodon],285127,antipsychotic
4,ziprasidone,ziprasidone 20 MG Injection [Geodon],352228,antipsychotic
5,ziprasidone,ziprasidone 40 MG Oral Capsule,313776,antipsychotic
6,ziprasidone,ziprasidone 60 MG Oral Capsule,313777,antipsychotic
7,ziprasidone,ziprasidone 80 MG Oral Capsule,313778,antipsychotic
8,ziprasidone,ziprasidone 20 MG Oral Capsule,314286,antipsychotic
9,ziprasidone,ziprasidone 20 MG Injection,351223,antipsychotic
